id,age,gender,monthly_earn1,wta
61,30,Female,"Between MWK125,000 to MWK149,999",90
62,28,Female,NA,NA
63,19,Male,"Between MWK50,000 to MWK74,999",20
64,30,Female,I don't know,NA
65,22,Female,"Between MWK175,000 to MWK200,000",160
66,39,Female,"Between MWK50,000 to MWK74,999",20
67,60,Female,NA,NA
68,21,Male,I don't know,NA
69,29,Female,"More than MWK200,000",220
70,22,Male,"Between MWK150,000 to MWK174,999",120
71,44,Male,"Between MWK175,000 to MWK200,000",160
72,83,Male,"More than MWK200,000",220
73,28,Female,"More than MWK200,000",220
74,37,Female,"Between MWK100,000 to MWK124,999",60
75,33,Female,"Between MWK150,000 to MWK174,999",120
76,45,Male,"Between MWK100,000 to MWK124,999",60
77,19,Male,"Between MWK25,000 to MWK49,999",10
78,42,Male,"Between MWK75,000 to MWK99,999",40
79,32,Male,"Between MWK100,000 to MWK124,999",60
80,23,Female,Prefer not to say,NA
81,38,Female,"Between MWK100,000 to MWK124,999",60
82,16,Female,I don't know,NA
83,20,Female,"More than MWK200,000",220
84,49,Female,"More than MWK200,000",220
85,25,Male,NA,NA
86,41,Female,"Between MWK100,000 to MWK124,999",60
87,75,Female,"Between MWK175,000 to MWK200,000",160
88,53,Female,"Between MWK150,000 to MWK174,999",120
89,47,Female,NA,NA
90,38,Female,"More than MWK200,000",220
91,22,Male,NA,NA
92,35,Female,"Between MWK75,000 to MWK99,999",40
93,75,Male,"Between MWK50,000 to MWK74,999",20
94,41,Female,"Between MWK50,000 to MWK74,999",20
95,18,Female,NA,NA
96,19,Female,"Between MWK100,000 to MWK124,999",60
97,18,Female,"Between MWK50,000 to MWK74,999",20
98,30,Female,"Between MWK50,000 to MWK74,999",20
99,33,Female,"Between MWK50,000 to MWK74,999",20
100,30,Female,Prefer not to say,NA
101,42,Female,"More than MWK200,000",220
102,27,Male,NA,NA
103,23,Female,Prefer not to say,NA
104,33,Female,I don't know,NA
105,74,Male,"Between MWK25,000 to MWK49,999",10
106,57,Male,I don't know,NA
107,18,Male,NA,NA
108,25,Female,NA,NA
109,31,Female,NA,NA
110,22,Female,NA,NA
111,62,Female,I don't know,NA
112,23,Female,"Between MWK150,000 to MWK174,999",120
113,37,Female,"Between MWK100,000 to MWK124,999",60
114,21,Male,"Between MWK150,000 to MWK174,999",120
115,39,Female,"More than MWK200,000",220
116,33,Male,"More than MWK200,000",220
117,29,Female,"Between MWK150,000 to MWK174,999",120
118,59,Female,"More than MWK200,000",220
119,27,Male,"Between MWK75,000 to MWK99,999",40
120,31,Female,NA,NA
121,41,Female,Prefer not to say,NA
122,26,Female,"Between MWK75,000 to MWK99,999",40
123,27,Female,"Between MWK125,000 to MWK149,999",90
124,32,Male,NA,NA
125,36,Female,Prefer not to say,NA
126,28,Female,NA,NA
127,60,Female,"Between MWK175,000 to MWK200,000",160
128,35,Female,"Between MWK100,000 to MWK124,999",60
129,17,Male,I don't know,NA
130,21,Female,Prefer not to say,NA
131,19,Male,Prefer not to say,NA
132,27,Male,"Between MWK50,000 to MWK74,999",20
133,29,Female,NA,NA
134,33,Female,Prefer not to say,NA
135,24,Female,Prefer not to say,NA
136,20,Female,"Between MWK100,000 to MWK124,999",60
137,21,Female,I don't know,NA
138,18,Male,I don't know,NA
139,49,Female,NA,NA
140,47,Female,Prefer not to say,NA
141,19,Female,I don't know,NA
142,34,Male,"Between MWK75,000 to MWK99,999",40
143,18,Female,NA,NA
144,38,Female,NA,NA
145,20,Female,NA,NA
146,32,Female,NA,NA
147,55,Female,"Less than MWK25,000",5
148,36,Female,NA,NA
149,23,Male,"Between MWK50,000 to MWK74,999",20
150,43,Male,NA,NA
151,28,Male,NA,NA
152,33,Male,Prefer not to say,NA
153,25,Female,NA,NA
154,22,Female,NA,NA
155,28,Female,Prefer not to say,NA
156,32,Female,"More than MWK200,000",220
157,72,Female,"Between MWK100,000 to MWK124,999",60
158,54,Male,"Between MWK150,000 to MWK174,999",120
159,42,Female,"Between MWK125,000 to MWK149,999",90
160,52,Male,"Between MWK150,000 to MWK174,999",120
161,28,Male,"Between MWK50,000 to MWK74,999",20
162,20,Female,"Between MWK125,000 to MWK149,999",90
163,21,Female,"Between MWK100,000 to MWK124,999",60
164,35,Female,"Between MWK100,000 to MWK124,999",60
165,16,Female,"Between MWK175,000 to MWK200,000",160
166,38,Male,"Between MWK25,000 to MWK49,999",10
167,19,Male,I don't know,NA
168,58,Male,Prefer not to say,NA
169,31,Female,"Between MWK25,000 to MWK49,999",10
170,18,Female,NA,NA
171,30,Female,"Between MWK25,000 to MWK49,999",10
172,21,Female,"Between MWK25,000 to MWK49,999",10
173,24,Male,NA,NA
174,25,Female,NA,NA
175,36,Male,"Between MWK100,000 to MWK124,999",60
176,23,Female,"Between MWK150,000 to MWK174,999",120
177,49,Female,Prefer not to say,NA
178,36,Female,"Between MWK75,000 to MWK99,999",40
179,23,Female,I don't know,NA
180,32,Female,Prefer not to say,NA
181,39,Female,Prefer not to say,NA
182,47,Female,NA,NA
183,22,Female,NA,NA
184,48,Female,"Between MWK50,000 to MWK74,999",20
185,24,Female,"Between MWK175,000 to MWK200,000",160
186,52,Male,"Between MWK50,000 to MWK74,999",20
187,46,Male,"Between MWK75,000 to MWK99,999",40
188,31,Male,"More than MWK200,000",220
189,55,Male,"Between MWK150,000 to MWK174,999",120
190,18,Female,"Between MWK100,000 to MWK124,999",60
191,30,Female,"Between MWK50,000 to MWK74,999",20
192,35,Female,"Between MWK75,000 to MWK99,999",40
193,23,Female,"Between MWK75,000 to MWK99,999",40
194,67,Male,NA,NA
195,19,Female,I don't know,NA
196,19,Male,"More than MWK200,000",220
197,29,Female,"Between MWK75,000 to MWK99,999",40
198,40,Female,"Between MWK100,000 to MWK124,999",60
199,38,Female,I don't know,NA
200,40,Female,"Between MWK100,000 to MWK124,999",60
201,32,Male,Prefer not to say,NA
202,38,Male,"Between MWK100,000 to MWK124,999",60
203,60,Female,NA,NA
204,19,Male,NA,NA
205,40,Female,"Between MWK25,000 to MWK49,999",10
206,29,Female,"Between MWK25,000 to MWK49,999",10
207,48,Male,Prefer not to say,NA
208,26,Male,NA,NA
209,26,Male,I don't know,NA
210,18,Female,I don't know,NA
211,46,Female,"Between MWK25,000 to MWK49,999",10
212,40,Female,Prefer not to say,NA
213,18,Female,I don't know,NA
214,19,Male,I don't know,NA
215,26,Female,Prefer not to say,NA
216,42,Male,"Between MWK75,000 to MWK99,999",40
217,23,Male,I don't know,NA
218,33,Female,NA,NA
219,42,Female,NA,NA
220,67,Female,NA,NA
221,56,Male,"Between MWK25,000 to MWK49,999",10
222,49,Male,"Between MWK150,000 to MWK174,999",120
